Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63,1,1,1,1,152,1850000000.0,61666.67
60,1,1,1,1,152,1850000000.0,61666.67
79,2,1,1,1,118,550000000.0,18333.33
95,2,1,1,1,154,902500000.0,30083.33
123,2,1,1,1,151,7000000000.0,233333.33
70,2,1,1,0,107,2050000000.0,68333.33
87,2,1,1,1,118,600000000.0,20000.0
59,1,1,1,1,152,2150000000.0,71666.67
54,2,1,1,0,14,493000000.0,16433.33
71,1,1,1,1,153,2370000000.0,79000.0
68,2,1,1,1,153,2450000000.0,81666.67
64,1,1,1,1,101,2100000000.0,70000.0
54,1,0,1,1,101,1690000000.0,56333.33
136,3,1,1,1,136,11000000000.0,366666.67
95,2,1,1,1,155,5000000000.0,166666.67
63,1,0,1,0,72,570000000.0,19000.0
155,3,1,1,1,101,6700000000.0,223333.33
64,2,0,1,0,121,1450000000.0,48333.33
140,3,1,1,1,153,6400000000.0,213333.33
42,1,0,1,0,121,1390000000.0,46333.33
93,2,1,1,1,151,7000000000.0,233333.33
87,2,1,1,1,156,2500000000.0,83333.33
65,1,1,1,1,152,1880000000.0,62666.67
99,2,1,1,1,100,2277000000.0,75900.0
105,2,1,1,1,136,7150000000.0,238333.33
160,3,1,1,1,157,14945000000.0,498166.67
77,2,1,1,1,13,1771000000.0,59033.33
123,2,1,1,1,121,4059000000.0,135300.0
110,2,1,1,1,158,630000000.0,21000.0
100,2,1,1,1,153,3200000000.0,106666.67
90,2,0,1,0,142,1500000000.0,50000.0
49,1,1,1,1,153,2200000000.0,73333.33
96,2,1,1,1,159,7872000000.0,262400.0
67,2,1,1,0,53,2350000000.0,78333.33
68,2,1,1,1,153,2500000000.0,83333.33
62,1,1,0,1,160,2150000000.0,71666.67
55,1,1,1,1,153,2150000000.0,71666.67
110,2,1,1,1,153,3750000000.0,125000.0
129,2,1,1,1,153,5250000000.0,175000.0
109,2,1,1,1,153,4830000000.0,161000.0
58,1,1,1,1,136,3400000000.0,113333.33
55,1,1,1,1,136,3850000000.0,128333.33
150,2,0,1,1,154,1200000000.0,40000.0
130,3,1,1,0,148,5000000000.0,166666.67
88,2,1,1,1,62,4750000000.0,158333.33
51,1,1,1,1,62,2980000000.0,99333.33
113,3,1,1,0,151,7000000000.0,233333.33
110,2,1,1,1,129,2035000000.0,67833.33
60,1,1,1,1,2,2460000000.0,82000.0
98,2,1,1,1,118,540000000.0,18000.0
62,2,0,0,1,112,1450000000.0,48333.33
150,3,1,1,1,51,10000000000.0,333333.33
75,2,0,0,0,116,635000000.0,21166.67
61,1,1,1,0,123,2030000000.0,67666.67
61,1,1,1,0,123,2030000000.0,67666.67
72,2,1,1,1,152,2350000000.0,78333.33
100,2,1,1,1,126,3000000000.0,100000.0
122,3,1,1,1,15,7200000000.0,240000.0
215,3,1,1,1,114,1750000000.0,58333.33
101,2,1,1,1,128,3300000000.0,110000.0
67,2,1,1,1,123,2800000000.0,93333.33
72,2,1,1,0,123,2200000000.0,73333.33
63,1,1,1,0,123,2200000000.0,73333.33
75,2,1,1,0,123,2200000000.0,73333.33
109,2,1,1,1,152,3500000000.0,116666.67
122,2,1,1,1,15,7000000000.0,233333.33
70,1,1,1,1,27,3100000000.0,103333.33
60,1,1,1,1,153,2450000000.0,81666.67
53,1,1,1,0,41,1920000000.0,64000.0
90,1,0,1,0,115,850000000.0,28333.33
72,2,1,1,1,13,1650000000.0,55000.0
74,2,1,1,1,13,1700000000.0,56666.67
88,3,0,0,1,116,560000000.0,18666.67
63,1,1,1,1,123,2150000000.0,71666.67
114,3,1,1,1,143,5500000000.0,183333.33
151,3,1,1,1,136,10200000000.0,340000.0
42,1,1,0,1,152,1760000000.0,58666.67
74,2,1,1,1,13,1700000000.0,56666.67
88,3,0,0,1,116,560000000.0,18666.67
63,1,1,1,1,123,2150000000.0,71666.67
114,3,1,1,1,143,5500000000.0,183333.33
151,3,1,1,1,136,10200000000.0,340000.0
42,1,1,0,1,152,1760000000.0,58666.67
300,3,1,1,0,22,1500000000.0,50000.0
110,2,1,1,1,153,3730000000.0,124333.33
100,2,0,0,0,154,620000000.0,20666.67
140,1,0,0,0,161,580000000.0,19333.33
70,2,1,1,1,109,3050000000.0,101666.67
60,2,1,1,0,153,2000000000.0,66666.67
76,2,1,1,1,107,2600000000.0,86666.67
148,3,1,1,1,36,5990000000.0,199666.67
75,2,1,1,1,107,2300000000.0,76666.67
40,1,1,1,0,121,1300000000.0,43333.33
65,2,1,1,1,162,2270000000.0,75666.67
140,3,1,1,1,135,4000000000.0,133333.33
110,2,1,1,1,163,4000000000.0,133333.33
70,2,1,0,1,5,1650000000.0,55000.0
128,3,1,1,1,94,6700000000.0,223333.33
94,2,1,1,1,116,580000000.0,19333.33
67,1,1,1,1,123,2300000000.0,76666.67
75,1,1,1,1,154,650000000.0,21666.67
130,2,1,1,1,40,16900000000.0,563333.33
40,0,0,0,0,154,248000000.0,8266.67
97,2,1,1,1,118,510000000.0,17000.0
110,2,1,1,1,152,3850000000.0,128333.33
150,3,1,1,1,139,6000000000.0,200000.0
75,2,0,0,0,28,780000000.0,26000.0
137,3,1,1,1,148,7200000000.0,240000.0
85,2,1,1,1,116,410000000.0,13666.67
68,2,0,1,0,114,430000000.0,14333.33
78,2,0,1,0,24,800000000.0,26666.67
85,2,1,1,1,116,545000000.0,18166.67
100,2,1,1,0,116,1280000000.0,42666.67
71,2,1,1,1,123,2800000000.0,93333.33
140,3,1,1,1,62,11200000000.0,373333.33
136,3,1,1,0,116,750000000.0,25000.0
48,1,0,0,0,75,850000000.0,28333.33
100,2,1,1,1,89,3300000000.0,110000.0
82,2,1,0,1,164,3280000000.0,109333.33
120,3,1,1,1,52,4800000000.0,160000.0
139,3,1,1,1,62,7300000000.0,243333.33
110,3,1,1,1,82,3950000000.0,131666.67
78,2,0,0,1,116,370000000.0,12333.33
79,2,0,0,0,22,750000000.0,25000.0
66,2,1,1,1,142,1725000000.0,57500.0
78,2,1,1,1,77,780000000.0,26000.0
85,2,1,1,1,161,1419000000.0,47300.0
100,2,1,1,0,125,1200000000.0,40000.0
80,2,1,1,1,111,3600000000.0,120000.0
44,1,1,1,0,142,1050000000.0,35000.0
120,2,1,1,0,161,1200000000.0,40000.0
50,1,0,1,0,154,340000000.0,11333.33
121,3,1,1,0,112,3300000000.0,110000.0
80,2,1,1,1,20,2800000000.0,93333.33
70,2,0,1,1,23,1200000000.0,40000.0
160,1,0,0,0,125,3600000.0,120.0
40,0,0,0,0,114,165000000.0,5500.0
88,2,1,1,1,128,2860000000.0,95333.33
141,3,1,1,1,120,3810000000.0,127000.0
140,3,1,1,1,120,1790000000.0,59666.67
120,2,1,1,1,120,1530000000.0,51000.0
66,2,0,1,0,25,1000000000.0,33333.33
70,2,1,1,1,123,3500000000.0,116666.67
75,2,1,0,1,70,3000000000.0,100000.0
70,2,0,1,1,46,1800000000.0,60000.0
150,3,1,1,1,136,20000000000.0,666666.67
95,2,1,1,1,63,950000000.0,31666.67
127,2,1,1,1,158,6000000000.0,200000.0
123,3,1,1,1,147,3700000000.0,123333.33
63,2,1,1,1,158,2000000000.0,66666.67
90,2,1,1,1,123,3050000000.0,101666.67
105,2,1,1,1,118,605000000.0,20166.67
180,3,1,1,1,119,9900000000.0,330000.0
120,3,1,0,1,121,3700000000.0,123333.33
65,2,1,1,1,53,2500000000.0,83333.33
158,3,1,1,1,51,10480000000.0,349333.33
144,3,1,1,1,30,7632000000.0,254400.0
144,3,1,1,1,123,7632000000.0,254400.0
130,3,1,1,1,58,12300000000.0,410000.0
245,3,1,1,1,51,26950000000.0,898333.33
190,3,1,1,1,78,24300000000.0,810000.0
63,2,1,1,1,27,3000000000.0,100000.0
75,2,1,1,1,41,2100000000.0,70000.0
88,2,1,0,1,61,4700000000.0,156666.67
108,2,1,1,1,119,9180000000.0,306000.0
117,2,1,1,1,72,1579500000.0,52650.0
200,3,1,1,1,119,12000000000.0,400000.0
65,1,1,1,0,121,1750000000.0,58333.33
90,2,1,1,1,27,3780000000.0,126000.0
125,2,1,1,1,69,8100000000.0,270000.0
140,3,1,1,1,69,9100000000.0,303333.33
71,2,0,1,1,66,1550000000.0,51666.67
71,2,0,1,1,75,1640000000.0,54666.67
236,4,1,1,1,58,20000000000.0,666666.67
67,2,1,1,1,27,2750000000.0,91666.67
60,1,1,1,1,123,1750000000.0,58333.33
220,3,1,1,1,69,15400000000.0,513333.33
44,1,1,1,0,14,350000000.0,11666.67
68,1,1,1,1,69,4115000000.0,137166.67
100,2,1,1,1,119,8000000000.0,266666.67
86,2,1,1,1,118,580000000.0,19333.33
84,2,1,1,1,118,560000000.0,18666.67
94,2,1,1,1,69,4800000000.0,160000.0
55,1,0,1,0,153,1550000000.0,51666.67
113,2,1,1,1,136,7500000000.0,250000.0
